"","team","count_for","count_against","year"
"1","West Ham ","10","6","2021/2022"
"2","Arsenal ","9","6","2021/2022"
"3","Brentford ","9","6","2021/2022"
"4","Manchester City ","8","5","2021/2022"
"5","Newcastle ","8","9","2021/2022"
"6","Liverpool ","7","3","2021/2022"
"7","Brighton & Hove Albion ","6","4","2021/2022"
"8","Chelsea ","6","5","2021/2022"
"9","Crystal Palace ","6","6","2021/2022"
"10","Everton ","6","9","2021/2022"
"11","Manchester United ","6","8","2021/2022"
"12","Southampton ","6","3","2021/2022"
"13","Watford ","6","3","2021/2022"
"14","Norwich ","5","11","2021/2022"
"15","Tottenham Hotspur ","5","4","2021/2022"
"16","Aston Villa ","4","4","2021/2022"
"17","Leeds ","4","5","2021/2022"
"18","Wolves ","4","6","2021/2022"
"19","Burnley ","2","8","2021/2022"
"20","Leicester City ","2","8","2021/2022"
