"","team","count_for","count_against","year"
"1","Brentford ","11","5","2022/2023"
"2","Newcastle ","10","9","2022/2023"
"3","Liverpool ","9","4","2022/2023"
"4","Nottm Forest ","9","6","2022/2023"
"5","West Ham ","9","10","2022/2023"
"6","Aston Villa ","7","6","2022/2023"
"7","Fulham ","7","2","2022/2023"
"8","Bournemouth ","6","5","2022/2023"
"9","Brighton & Hove Albion ","6","10","2022/2023"
"10","Leicester City ","6","8","2022/2023"
"11","Arsenal ","5","7","2022/2023"
"12","Crystal Palace ","5","6","2022/2023"
"13","Chelsea ","4","4","2022/2023"
"14","Leeds ","4","7","2022/2023"
"15","Manchester United ","4","4","2022/2023"
"16","Tottenham ","4","6","2022/2023"
"17","Wolves ","4","5","2022/2023"
"18","Manchester City ","3","7","2022/2023"
"19","Everton ","3","3","2022/2023"
"20","Southampton ","3","4","2022/2023"
