"","team","count_for","count_against","year"
"1","Brighton & Hove Albion ","9","8","2020/2021"
"2","Fulham ","9","6","2020/2021"
"3","Leicester City ","9","7","2020/2021"
"4","Manchester United ","9","9","2020/2021"
"5","Chelsea ","8","5","2020/2021"
"6","Aston Villa ","7","5","2020/2021"
"7","Liverpool ","7","13","2020/2021"
"8","Sheffield United ","7","4","2020/2021"
"9","Southampton ","7","7","2020/2021"
"10","Tottenham Hotspur ","7","10","2020/2021"
"11","Crystal Palace ","6","5","2020/2021"
"12","Everton ","6","2","2020/2021"
"13","Burnley ","5","1","2020/2021"
"14","Leeds ","5","4","2020/2021"
"15","Manchester City ","5","4","2020/2021"
"16","Newcastle ","5","5","2020/2021"
"17","West Ham ","5","6","2020/2021"
"18","Wolves ","4","7","2020/2021"
"19","Arsenal ","3","9","2020/2021"
"20","West Brom ","3","9","2020/2021"
