team_name,net_score,overturns_total,overturns_rejected,leading_to_goals_for,leading_to_goals_against,disallowed_goals_for,disallowed_goals_against,net_goal_score,subj_decisions_for,subj_decisions_against,net_subjective_score,penalties_for,penalties_against,year,Big 6,Position,Points,Count for,Count against
Brentford,6,15,1,4,1,4,4,3,8,2,6,3,1,2022/2023,No,9,59,11,5
Fulham,5,9,1,0,1,0,4,3,3,2,1,1,1,2022/2023,No,10,52,7,2
Liverpool,5,13,0,2,0,2,6,4,2,3,-1,1,1,2022/2023,Yes,5,67,9,4
Nottm Forest,3,15,1,3,2,4,3,0,6,3,3,3,3,2022/2023,No,16,38,9,6
Aston Villa,1,9,2,0,2,0,5,3,1,5,-4,0,3,2022/2023,No,7,61,7,6
Bournemouth,1,13,0,1,3,2,5,1,3,3,0,0,2,2022/2023,No,15,39,6,5
Newcastle,1,19,0,4,1,6,4,3,6,6,0,2,2,2022/2023,No,4,71,10,9
Chelsea,0,8,0,0,0,3,3,-2,3,0,3,0,0,2022/2023,Yes,12,44,4,4
Everton,0,6,0,1,1,2,2,0,0,1,-1,0,0,2022/2023,No,17,36,3,3
Manchester United,0,13,0,1,1,4,1,-3,3,4,-1,0,1,2022/2023,Yes,3,75,4,4
Crystal Palace,-1,10,1,1,3,2,2,-2,4,2,2,1,1,2022/2023,No,11,45,5,6
Southampton,-1,9,0,2,1,2,2,1,2,3,-1,1,1,2022/2023,No,20,25,3,4
West Ham,-1,7,0,0,1,3,2,0,1,1,0,0,0,2022/2023,No,14,40,9,10
Wolves,-1,19,0,3,1,6,2,-2,6,5,1,4,1,2022/2023,No,13,41,4,5
Arsenal,-2,8,1,2,0,1,2,3,3,5,-2,2,1,2022/2023,Yes,2,84,5,7
Leicester City,-2,14,0,1,4,2,3,-2,3,3,0,1,1,2022/2023,No,18,34,6,8
Tottenham,-2,10,0,2,1,2,2,1,2,3,-1,1,1,2022/2023,Yes,8,60,4,6
Leeds,-3,10,0,0,5,0,1,-4,3,4,-1,1,3,2022/2023,No,19,31,4,7
Brighton & Hove Albion,-4,16,0,4,3,5,3,-1,4,5,-1,3,3,2022/2023,No,6,62,6,10
Manchester City,-4,10,0,3,1,4,0,-2,2,4,-2,2,0,2022/2023,Yes,1,89,3,7
